businessZones,city,companyFullName,companyShortName,companySize,createTime,district,education,industryField,industryLables,jobNature,positionId,salary,workYear,description
,东莞,东莞市糖酒集团美宜佳便利店有限公司,东莞美宜佳,500-2000人,2018-05-23 11:43:57,东莞市市辖区,大专,其他,[],全职,2902927,6k-10k,1-3年,"职位描述：


（一）岗位职责：

1、各类经营分析报表的制作；

2、海量运营数据的分类汇总、分析研究和数据建模；

3、对数据库信息进行深度挖掘和有效利用，充分实现数据的商业价值；

4、跟踪并分析用户行为，为公司零售、批发、营销平台及企业信息化等领域的产品设计进行海量数据支持。

（二）岗位要求：

1、大专以上学历，3年以上工作经验；

2、熟悉了解SQL语言及Excel，熟练掌握主流数据库，如MS SQL Server、Oracle或MySQL；

3、熟练掌握主流分析工具，如：Spss, Matlab等等。"
,东莞,广东尚睿网络技术有限公司,尚睿,150-500人,2018-05-16 09:41:42,东莞市市辖区,本科,"电子商务,企业服务",[],全职,4576813,5k-6k,1年以下,"职位描述：

职位信息
Job Title: 数据分析工程师
  
  Job Descriptions:
  1、日常对业务的关键性指标进行监控、并给出提醒及相关分析报告；
  2、定期制作业务简报/并能对其它部门的报表进行适当优化；
  3、梳理公司当前所用IT系统的数据字段，并协助部门搭建业务分析数据仓库；
  4、能独立运用相关数学模型进行建模计算，计算结果能帮助公司提升效率；
  5、研读相关平台的API文档、为公司完善数据的准确性与实时性。
  
  
  Job Requirement：
  1、本科以上学历，数学或者计算机专业，具备CET-4证书；
  2、精通SQL语句，能独立对数据表进行复合查询操作；
  3、至少熟练R/Python/SAS/SPSS任一建模开发语言，能对大量数据进行批量清洗工作；
  4、熟练操作Excel，了解常用函数；
  5、有大数据相关项目经验者优先。"
,东莞,维沃移动通信有限公司,vivo,2000人以上,2018-05-14 21:49:33,东莞市市辖区,本科,移动互联网,[],全职,3859736,15k-20k,3-5年,"职位描述：

岗位职责：
1、负责编写数据建模程序进行文本数据的分析与挖掘，包括进行非结构化文本特征提取、语义识别、自动文本聚类等工作；
2、负责产品口碑舆情监控；
3、根据其他部门的需求提供相应的市场数据支持；
任职资格：
1、计算机、应用数学、统计学等相关专业，本科及以上，3年以上工作经验；
2、熟悉文本类数据挖掘、机器学习、自然语言处理等相关算法，并具备实际工作经验，有相关项目经验者为佳； 
3、熟悉SAS ECC文本建模工具者优先；
4、熟练使用sql,并对数据仓库、BI有了解；
5、良好的团队合作精神，较强的逻辑思维能力、良好的学习能力。"
,东莞,维沃移动通信有限公司,vivo,2000人以上,2018-05-14 21:49:32,东莞市市辖区,本科,移动互联网,[],全职,4041018,20k-40k,3-5年,"职位描述：

岗位职责：
1、利用数据统计分析工具，对市场品质数据进行统计分析，挖掘品质问题，并发布统计分析报告；
2、根据各部门需求，合理设计数据统计分析报告，为各部门提供市场品质数据支持，对统计分析方法持续优化；
3.能将业务需求转化为IT实现方案，推动参与海外市场品质舆情监控系统的搭建与优化。
任职要求：
1、本科及以上学历，计算机、应用数学、统计学等相关专业；
2、3年及以上数据统计分析工作经验；
3、具备较强的数据分析能力、能够熟练使用数理统计、数据分析、数据挖掘工具软件（如Excel函数、SPSS，SQL等）；
4、熟悉BI 数据仓库，爬虫，数据采集工具；
5、拥有良好的逻辑思维和沟通协调能力；
6、了解手机原理、熟悉手机市场品质数据分析、BIEE及ETL工具者优先。"
['容桂'],佛山,广州九尾信息科技有限公司,兼职猫,150-500人,2018-05-15 15:55:55,顺德区,不限,"移动互联网 ,O2O",[],全职,4573756,3k-5k,应届毕业生,"职位描述：

一、岗位职责： 1、主要负责地形图绘制、图面审查、数据检查以及数据入库； 2、外业数据采集，成果资料的检查与输出； 3、协助部门做好日常的项目资料归档。 二、岗位要求： 1、中专及以上学历，计算机、工程测量、GIS地理信息等相关专业优先； 2、工作认真细心、服从安排，有较强的沟通、协调能力和敬业精神； 3、数据调查、建库1年以上工作经验优先，相关专业优秀应届生、实习生也可考虑； 5、如果你想加入，又担心自己能力不够，只要你能吃苦耐劳，有上进心，公司会进行系统的岗前培训。 三、福利待遇：
1、底薪3000+绩效+社保；’
2、 各类带薪假期：法定假日、婚假、产假、病假、丧假、年假等；
3、 工作时间：朝九晚五，周末双休；
如有意向者请直接投递简历，通过简历筛选后，工作人员会通知您面试。"
"['汾江南路', '石湾']",佛山,佛山市诚信数据集成中心,集成数据中心,15-50人,2018-05-22 10:01:30,禅城区,本科,"移动互联网,数据服务",[],全职,4605134,4k-8k,1-3年,"职位描述：

岗位职责：

参与公司数据库的大数据应用场景探索工作，从海量互联网数据中挖掘有用的价值信息，并协调开发进行相应的产品化处理。                                               
参与公司数据项目的前期调研工作，主要包括业务和数据库两部分的调研。
根据项目的需求情况，对数据进行针对性的分析、建模和挖掘，并提交有效的分析报告。
根据项目的数据情况，提出具有价值性和可行性的数据分析方向，并使之有效实现。
针对不同的数据分析结果进行相应的数据可视化构思，并配合美工以及前端对其进行实现。


任职要求：

计算机、统计、数学等相关专业，本科以上学历，具有1年以上的数据分析工作经验。
至少熟练一种数据分析挖掘工具，如R、Matlab、Python、SAS，懂R和Python语言的优先考虑，熟练使用SQL语句以及Excel、Word等office办公软件。
具有比较好的业务理解能力和数据表梳理能力。
具备基本的数据探索和数据清洗能力，有一定的数据建模与挖掘经验，会应用基本的多元统计分析算法和机器学习算法，如：回归分析、判别分析、聚类分析、主成分和因子分析、决策树、关联规则、神经网络、贝叶斯分类等。
具备一定数据分析报告编写能力和数据可视化构思能力。
对数据敏感，能从海量数据中挖掘出核心价值；具备良好的逻辑推理能力、强烈的进取心、良好的团队沟通和合作能力及自身的学习能力，能在专业领域不断学习和创新。"
['桂城'],佛山,瑞庭网络技术（上海）有限公司惠州分公司,安居客,150-500人,2018-05-21 09:09:40,南海区,大专,移动互联网,[],全职,4306022,4K-6K,1-3年,"职位描述：

岗位职责：
1、数据收集，筛选，分类，对数据进行深度挖掘并编制工作报告；
2、向各部门提供各类准确运营数据及报表，并提出各项解决方案，支持其它业务部门的发展；
3、建立数据分析系统及流程，搭建有效支持的数据平台以及运营体系；
4、负责营销管理问题的跟踪和交叉分析。
5、基于销售运营管理深入剖析业务增长点，提炼具体方案，推动项目落地。
任职资格：
1、有1年以上数据分析/挖掘相关经验；
2、有销售或销售管理相关经验，擅长销售团队数据分析；
3、大专或以上学历，统计、数学、计算机信息工程等专业资格；
4、对数字敏感，思维清晰而有条理，有较深的数据分析能力和计算机应用知识；
5、精通office相关软件，能够用word、Excel、ppt实现工作中所有需求。善于使用EXCEL制作图表；
6、熟悉互联网行业务数据分析，有互联网从业经验并热爱此行业。

福利待遇：
1．丰厚的薪酬+绩效+年终奖+采暖补贴 +高温补贴+六险一金+员工生日+爱心基金计划+购房免息贷款+公司内部产品的使用（月付、转转、金融产品等）。
2．双休，带薪年假，法定节假日以及重要节假日福利。
3．富有朝气的年轻团队，工作氛围简单轻松，团队活动丰富多样。
4. 上市互联网集团公司，平台大，前景好，广阔的晋升空间，良好的职业发展平台。"
,佛山,佛山市博纳德信息科技有限公司,博纳德,150-500人,2018-05-23 10:14:16,顺德区,本科,移动互联网,"['金融', '数据挖掘', '机器学习', 'hadoop']",全职,4213979,25k-35k,5-10年,"职位描述：

岗位职责：
1. 基于Spark、Hadoop等大数据平台的建设、开发、维护与优化；
2. 协助对业务数据进行分析、建模，为业务部门的数据化运营提供支持；
3. .依据业务需求，进行数据产品的规划和设计开发，为数据分析和运营等人员搭建友好高效的数据产品；
4. 负责大数据实施过程中相关技术问题解决；
5. 完成与工作相关的技术文档编写工作。


任职要求：
1. 2年以上大数据或数据仓库项目经验，5年以上Java开发经验；
2. 具备Hadoop/Hive/Hbase/Kylin/Spark等大规模数据处理框架的部署、开发以及调试经验；
3. 熟悉Hadoop 以及 Hadoop 生态圈上的各种应用两种以上，如 Hbase 、 Hive 、 Spark 、 Storm；
4. 熟悉Java/Scala/Python/Shell 至少两种，有 Mysql 、 Nosql 相关开发经验；
5. 熟悉Hadoop/Spark生态系统组件；
6. 对业务有敏锐的洞察力，有较强的业务理解与分析能力；
7. 具备良好的团队合作精神，有较好的沟通交流能力，善于主动思考和行动，乐于解决具有挑战性的问题；
8. 最好有财税、金融、互联网等行业从业背景；
9. 具有海量数据处理、优化经验，有大型大数据成熟项目经验的优先考虑。"
,佛山,安得智联科技股份有限公司,安得智联科技,2000人以上,2018-05-19 19:46:53,顺德区,本科,企业服务,[],全职,4572097,30k-50k,3-5年,"职位描述：

1、本科及以上学历，计算机相关专业；
2、3年以上大数据流处理项目经验，熟悉并理解分布式系统开发；
3、掌握SQL语法，快速理解业务及表模型
4、熟悉hadoop，storm，spark streaming，kafka等开源分布式项目；
5、熟悉分布式环境开发、部署和测试，有TB级以上的实时数据流处理开发经验优先；
6、熟悉Job系统及API接口开发；
7、熟悉Redis、ElasticSearch者优先；
8、熟悉数据挖掘算法、机器学习算法者优先。"
['桂城'],佛山,广东广宇科技发展有限公司,广宇科技,50-150人,2018-05-23 09:08:11,南海区,本科,"移动互联网,信息安全",[],全职,3128720,6k-12k,不限,"职位描述：

岗位工作内容：
1、结合政务行业知识研发大数据分析处理平台；
2、结合政务行业知识研究人工智能领域相关算法及其在行业的应用等。
3.负责公司公安。水务、气象等研发系统的数据平台技术工作；
任职要求：

数学、计算机、统计分析等相关专业，本科及以上学历；
有扎实的计算机理论基础，对数据结构及算法有较强的功底；
具有良好的java或python编程基础，具备数据ETL所需的数据库、编程能力；
对分布式系统原理有较深的理解，理解数据库相关理论，熟悉mongodb、oracle;
具备良好的分析问题和解决问题的能力，有良好的沟通能力和文字表达能力，具有快速学习与良好的团队协作能力；
具有相关岗位工作经验者优先。"
