businessZones,city,companyFullName,companyShortName,companySize,createTime,district,education,industryField,industryLables,jobNature,positionId,salary,workYear
['共康'],上海,上海菁英房地产经纪有限公司共和新路店,上海菁英地产,500-2000人,2018/5/4 10:35,宝山区,本科,其他,[],全职,4517816,4K-5K,不限
,上海,上海森亿医疗科技有限公司,森亿智能,50-150人,2018/5/23 9:38,浦东新区,硕士,"数据服务,医疗健康",[],全职,3981299,10k-20k,不限
,上海,上海汇航捷讯网络科技有限公司,运去哪,150-500人,2018/5/23 15:08,浦东新区,本科,"电子商务,企业服务",[],全职,4224471,8k-10k,1-3年
"['大望路', '红庙']",北京,普信恒业科技发展（北京）有限公司,宜信,2000人以上,2018/5/23 9:16,朝阳区,硕士,金融,"['银行', '大数据', '数据挖掘']",全职,4589096,8k-15k,1年以下
"['西北旺', '上地', '马连洼']",北京,新浪网技术（中国）有限公司,新浪网,2000人以上,2018/5/23 12:05,海淀区,本科,文化娱乐,[],全职,4614384,15k-30k,1-3年
"['三元桥', '燕莎', '左家庄']",北京,中信云网有限公司,中信云网,500-2000人,2018/5/7 17:52,朝阳区,本科,"移动互联网,金融",[],全职,3839425,30k-60k,3-5年
['三里屯'],北京,思凯思特（北京）科技有限公司,PINTEC,500-2000人,2018/5/23 10:00,朝阳区,本科,"移动互联网,金融","['征信', '数据挖掘']",全职,3550955,16k-30k,1-3年
"['中关村', '苏州街', '苏州桥']",北京,北京融联世纪信息技术有限公司,融360,500-2000人,2018/5/23 11:09,海淀区,本科,"移动互联网,金融","['金融', '大数据', '数据挖掘']",全职,3350376,25k-35k,3-5年
"['西二旗', '西北旺', '上地']",北京,小船出海教育科技（北京）有限公司,作业帮,500-2000人,2018/5/7 12:10,海淀区,本科,"移动互联网,教育",[],全职,4030356,6k-8k,应届毕业生
"['中关村', '苏州街', '苏州桥']",北京,北京新东方迅程网络科技有限公司,新东方在线,500-2000人,2018/4/23 10:29,海淀区,硕士,"移动互联网,教育",[],实习,2197676,1k-2k,不限
